# ----------------------------------------
# All Web Site Data
# Pages
# 20170301-20180613
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/indicators/gci,"3,946","3,606",00:03:43,"3,255",67.86%,64.22%,US$0.00
/indicators/lbr.prod,"2,911","2,637",00:02:16,"2,149",74.73%,65.82%,US$0.00
/indicators/jud.ndep,"1,577","1,399",00:03:59,"1,332",76.20%,73.18%,US$0.00
/indicators/hh.mkt,"1,176","1,071",00:04:56,989,73.31%,69.81%,US$0.00
/indicators/tot.direct.gdp,959,889,00:04:29,786,74.94%,68.30%,US$0.00
/indicators/idx.econ.free.scr,731,689,00:04:02,638,73.35%,70.04%,US$0.00
/indicators/govt.exp,676,614,00:04:45,568,77.46%,73.96%,US$0.00
/indicators/govt.tat.spend,673,593,00:05:04,536,78.92%,73.85%,US$0.00
/indicators/effex.rate,658,611,00:03:16,538,74.54%,69.76%,US$0.00
/indicators/mva.ind.int,650,557,00:03:28,511,67.51%,63.08%,US$0.00
/indicators/aps.ea.total,615,549,00:04:10,499,75.55%,69.92%,US$0.00
/indicators/BX.KLT.DINV.WD.GD.ZS,569,537,00:04:22,431,81.67%,71.18%,US$0.00
/indicators/ST.INT.ARVL,540,511,00:04:13,433,83.83%,74.81%,US$0.00
/indicators/govt.regu,527,477,00:04:34,426,70.19%,64.71%,US$0.00
/indicators/ict.inv,500,462,00:03:38,421,80.52%,74.60%,US$0.00
/indicators/TX.VAL.TECH.MF.ZS,489,460,00:03:36,366,74.32%,66.67%,US$0.00
/indicators/lbr.mkt.efcy,440,404,00:05:09,350,76.57%,69.55%,US$0.00
/indicators/trade.stri.stri,393,337,00:02:08,194,74.23%,48.09%,US$0.00
/indicators/lbr.prod.grow,384,355,00:02:53,151,68.21%,63.02%,US$0.00
/indicators/NE.EXP.GNFS.CD,371,346,00:02:01,22,59.09%,38.01%,US$0.00
/indicators/TM.TAX.MRCH.WM.AR.ZS,367,333,00:03:01,262,80.15%,69.75%,US$0.00
/indicators/IS.SHP.GOOD.TU,365,345,00:03:31,283,86.57%,75.89%,US$0.00
/indicators/inv.CM.MKT.LCAP.GD.ZS,352,335,00:04:21,316,86.08%,82.67%,US$0.00
/indicators/govr.struct.bal,334,306,00:04:12,273,74.36%,69.76%,US$0.00
"/indicators/jud.ndep?country=BRA&indicator=669&viz=line_chart&years=2007,2016",334,310,00:04:07,238,85.71%,82.34%,US$0.00
,"91,146","82,007",00:03:11,"47,026",73.00%,54.13%,US$0.00

Day Index,Page Views
01/03/2017,65
02/03/2017,57
03/03/2017,51
04/03/2017,32
05/03/2017,33
06/03/2017,91
07/03/2017,94
08/03/2017,96
09/03/2017,63
10/03/2017,45
11/03/2017,13
12/03/2017,34
13/03/2017,104
14/03/2017,78
15/03/2017,70
16/03/2017,72
17/03/2017,82
18/03/2017,49
19/03/2017,94
20/03/2017,270
21/03/2017,120
22/03/2017,102
23/03/2017,124
24/03/2017,195
25/03/2017,56
26/03/2017,64
27/03/2017,118
28/03/2017,145
29/03/2017,73
30/03/2017,127
31/03/2017,97
01/04/2017,41
02/04/2017,77
03/04/2017,193
04/04/2017,123
05/04/2017,107
06/04/2017,71
07/04/2017,75
08/04/2017,73
09/04/2017,82
10/04/2017,107
11/04/2017,82
12/04/2017,186
13/04/2017,71
14/04/2017,142
15/04/2017,36
16/04/2017,75
17/04/2017,167
18/04/2017,163
19/04/2017,199
20/04/2017,152
21/04/2017,136
22/04/2017,67
23/04/2017,104
24/04/2017,326
25/04/2017,167
26/04/2017,216
27/04/2017,341
28/04/2017,93
29/04/2017,84
30/04/2017,99
01/05/2017,84
02/05/2017,160
03/05/2017,187
04/05/2017,227
05/05/2017,90
06/05/2017,89
07/05/2017,86
08/05/2017,117
09/05/2017,242
10/05/2017,171
11/05/2017,123
12/05/2017,178
13/05/2017,66
14/05/2017,101
15/05/2017,140
16/05/2017,108
17/05/2017,137
18/05/2017,119
19/05/2017,172
20/05/2017,60
21/05/2017,101
22/05/2017,218
23/05/2017,177
24/05/2017,124
25/05/2017,146
26/05/2017,140
27/05/2017,46
28/05/2017,122
29/05/2017,118
30/05/2017,100
31/05/2017,170
01/06/2017,171
02/06/2017,81
03/06/2017,61
04/06/2017,64
05/06/2017,91
06/06/2017,154
07/06/2017,145
08/06/2017,122
09/06/2017,106
10/06/2017,43
11/06/2017,50
12/06/2017,137
13/06/2017,125
14/06/2017,156
15/06/2017,113
16/06/2017,107
17/06/2017,46
18/06/2017,45
19/06/2017,91
20/06/2017,99
21/06/2017,104
22/06/2017,137
23/06/2017,66
24/06/2017,61
25/06/2017,58
26/06/2017,126
27/06/2017,80
28/06/2017,111
29/06/2017,120
30/06/2017,148
01/07/2017,32
02/07/2017,102
03/07/2017,129
04/07/2017,117
05/07/2017,155
06/07/2017,139
07/07/2017,146
08/07/2017,60
09/07/2017,94
10/07/2017,194
11/07/2017,162
12/07/2017,251
13/07/2017,138
14/07/2017,91
15/07/2017,55
16/07/2017,62
17/07/2017,151
18/07/2017,118
19/07/2017,125
20/07/2017,123
21/07/2017,141
